essential,xorg,X Server
essential,xorg-xinit,Display Server boot
essential,man,Manual
essential,man-pages,Manual Pages
network,openssh,Remote login tool forthe SSH protocol
network,networkmanager,Network manager
tools,rsync,Synchronize files across computers
tools,arandr,xrandr GUI
tools,xsel,Manipulate the X selection
tools,fzf,Command line fuzzy search
tools,scrot,Screenshot software
tools,udiskie,Automount devices
tools,lxappearance,Theme switcher for GTK+
tools,xcape,Configure modifier keys to act as other keys
tools,ripgrep,Faster alternative to grep
tools,htop,Interactive process viewer
tmux,tmux,Terminal multiplexer
tmux,tmuxp,Configure tmux sessions + windows + panes via config files
notifier,dunst,Notification system
notifier,libnotify,Notifier
git,git,Version Control
git,diff-so-fancy,Human readable git diff
i3,i3-wm,i3 window tile manager
i3,i3status,i3 status bar
i3,i3lock,i3 lock monitor
i3,dmenu,Dynamic menu for X
i3,feh,X11 image viewer
i3,arc-gtk-theme,Desktop themes
zsh,zsh,Unix shell
zsh,zsh-completions,Additional completions for zsh
zsh,zsh-syntax-highlighting,Syntax highlighting for ZSH
neovim,neovim,Editor
neovim,python-neovim,Python for neovim
neovim,python2-neovim,Python2 for neovim (AUR)
neovim,ruby-neovim,Ruby for neovim (AUR)
neovim,nodejs-neovim,Nodejs for neovim (AUR)
js,nodejs,Nodejs 
js,yarn, Dependancy manager for nodejs
urxvt,rxvt-unicode,Terminal Urxvt
urxvt,urxvt-tabbedex-mina86-git,Improved tabs for Urxvt (AUR)
firefox,firefox,Firefox Browser
